Thread type;Size;Threads;Time
POSIX Threads;1000;1;18.327848
POSIX Threads;1000;2;8.887583
POSIX Threads;1000;3;10.108817
POSIX Threads;1000;4;11.121345
POSIX Threads;1000;5;10.850872
POSIX Threads;1000;6;10.704700
POSIX Threads;1000;7;10.364160
POSIX Threads;1000;8;10.183669
POSIX Threads;1000;9;11.819847
POSIX Threads;1000;10;8.559478
OpenMP Threads;1000;1;16.652832
OpenMP Threads;1000;2;7.788646
OpenMP Threads;1000;3;9.704398
OpenMP Threads;1000;4;9.473921
OpenMP Threads;1000;5;10.402985
OpenMP Threads;1000;6;10.409962
OpenMP Threads;1000;7;10.891304
OpenMP Threads;1000;8;11.457433
OpenMP Threads;1000;9;10.592416
OpenMP Threads;1000;10;10.162052